title,release_year,duration,main_genre,main_production,number_of_votes,score
White Christmas,1954,115,romance,US,42373,7.5
The Guns of Navarone,1961,158,war,US,50150,7.5
My Fair Lady,1964,170,drama,US,94121,7.8
The Professionals,1966,117,western,US,16168,7.3
Bonnie and Clyde,1967,110,drama,US,111189,7.7
Dirty Harry,1971,102,thriller,US,153463,7.7
The Exorcist,1973,133,horror,US,391942,8.1
Monty Python and the Holy Grail,1975,91,comedy,GB,530877,8.2
Taxi Driver,1976,113,crime,US,795222,8.3
Life of Brian,1979,94,comedy,GB,392419,8.0
The Long Riders,1980,99,western,US,11329,6.9
Monty Python Live at the Hollywood Bowl,1982,77,comedy,GB,15186,7.9
Once Upon a Time in America,1984,229,drama,US,342335,8.3
Stand by Me,1986,89,drama,US,392790,8.1
Full Metal Jacket,1987,116,drama,GB,723306,8.3
When Harry Met Sally...,1989,96,romance,US,212913,7.7
Awakenings,1990,120,drama,US,137549,7.8
My Girl,1991,103,comedy,US,79800,6.9
A River Runs Through It,1992,123,drama,US,59086,7.2
Menace II Society,1993,97,drama,US,57399,7.5
Forrest Gump,1994,142,drama,US,1994599,8.8
Bombay,1995,141,romance,IN,12512,8.1
Happy Gilmore,1996,92,comedy,US,217534,7.0
Neon Genesis Evangelion: The End of Evangelion,1997,87,scifi,JP,51938,8.0
Saving Private Ryan,1998,169,drama,US,1346020,8.6
"Girl, Interrupted",1999,127,drama,US,180532,7.3
The Patriot,2000,165,drama,DE,270231,7.2
Lagaan: Once Upon a Time in India,2001,224,drama,IN,111053,8.1
The Legend of Bhagat Singh,2002,155,drama,IN,16225,8.1
Anbe Sivam,2003,160,comedy,IN,20595,8.7
Black Friday,2004,143,crime,IN,20611,8.4
Corpse Bride,2005,77,fantasy,US,265023,7.3
Rang De Basanti,2006,157,comedy,IN,118092,8.1
Like Stars on Earth,2007,165,drama,IN,188234,8.3
Ip Man,2008,108,drama,HK,221095,8.0
3 Idiots,2009,170,comedy,IN,385782,8.4
Inception,2010,148,scifi,GB,2268288,8.8
Warrior,2011,140,drama,US,463276,8.2
Django Unchained,2012,165,western,US,1472668,8.4
Bo Burnham: What.,2013,60,comedy,US,11488,8.3
Queen,2014,146,drama,IN,64805,8.2
Winter on Fire: Ukraine's Fight for Freedom,2015,98,documentary,UA,17710,8.3
Dangal,2016,161,action,IN,180247,8.4
Bāhubali 2: The Conclusion,2017,168,fantasy,IN,91560,8.2
Andhadhun,2018,139,thriller,IN,88359,8.2
Dave Chappelle: Sticks & Stones,2019,65,comedy,US,25687,8.4
David Attenborough: A Life on Our Planet,2020,83,documentary,GB,31180,9.0
Bo Burnham: Inside,2021,87,comedy,US,44074,8.7
Dasvi,2022,125,drama,IN,13140,8.0
